id,regency_id,name
3314130,3314,Gemolong,57274
3314180,3314,Gesi,57262
3314060,3314,Gondang,57254
3314200,3314,Jenar,57256
3314010,3314,Kalijambe,57275
3314090,3314,Karangmalang,57291
3314040,3314,Kedawung,57292
3314030,3314,Masaran,57282
3314140,3314,Miri,57276
3314160,3314,Mondokan,57271
3314080,3314,Ngrampal,57252
3314020,3314,Plupuh,57283
3314050,3314,Sambirejo,57293
3314070,3314,Sambungmacan,57253
3314110,3314,Sidoharjo,57281
3314100,3314,Sragen,57211
3314170,3314,Sukodono,57263
3314150,3314,Sumberlawang,57272
3314190,3314,Tangen,57261
3314120,3314,Tanon,57277
1601140,1601,Baturaja Barat,32122
1601130,1601,Baturaja Timur,32112
1601052,1601,Lengkiti,32158
1601091,1601,Lubuk Batang,32192
1601131,1601,Lubuk Raja,32194
1601083,1601,Muara Jaya,32159
1601080,1601,Pengandonan,32155
1601090,1601,Peninjauan,32191
1601081,1601,Semidang Aji,32156
1601092,1601,Sinar Peninjauan,32193
1601070,1601,Sosoh Buay Rayap,32151
1601082,1601,Ulu Ogan,32157
2105010,2105,Jemaja,29992
2105020,2105,Jemaja Timur,29993
2105070,2105,Palmatak,29997
2105040,2105,Siantan,29991
2105030,2105,Siantan Selatan,29994
2105060,2105,Siantan Tengah,29995
2105050,2105,Siantan Timur,29996
1903050,1903,Jebus,33362
1903010,1903,Kelapa,33364
1903030,1903,Mentok,33311
1903051,1903,Parittiga,33363
1903040,1903,Simpang Teritip,33366
1903020,1903,Tempilang,33365
1273030,1273,Siantar Barat,21111
1273010,1273,Siantar Marihat,21128
1273011,1273,Siantar Marimbun,21127
1273060,1273,Siantar Martoba,21137
1273020,1273,Siantar Selatan,21121
1273061,1273,Siantar Sitalasari,21139
1273050,1273,Siantar Timur,21131
1273040,1273,Siantar Utara,21141
6213031,6213,Barito Tuhup Raya,73992
6213030,6213,Laung Tuhup,73991
6213020,6213,Murung,73911
6213010,6213,Permata Intan,73971
6213051,6213,Seribu Riam,73982
6213050,6213,Seribu Riam,73982
6213011,6213,Sungai Babuat,73972
